In present study  we selected MCF-7 as an in vitro model and investigated the combinatorial anti-proliferative effects of tamoxifen and naringenin on ER+ breast cancer  and then explored the potential mechanisms involved in mitochondrial dysfunction and oxidative stress mediated by several estrogen receptor subtypes.,we;investigated;anti-proliferative effects;investigated;effects on;ER cancer;we;investigated;anti-proliferative effects of tamoxifen on ER cancer;investigated;anti-proliferative effects on;ER cancer;we;selected MCF-7 as;in model;we;investigated;combinatorial anti-proliferative effects of tamoxifen;we;explored;potential mechanisms involved in mitochondrial dysfunction mediated by several estrogen receptor subtypes;we;investigated;effects of tamoxifen;we;explored;potential mechanisms involved in dysfunction;we;explored;potential mechanisms involved in dysfunction mediated by estrogen receptor subtypes;we;explored;potential mechanisms involved in mitochondrial dysfunction mediated;we;explored;potential mechanisms;we;explored;potential mechanisms involved in mitochondrial dysfunction;we;investigated;effects;we;explored;potential mechanisms involved in dysfunction mediated;we;investigated;combinatorial effects on ER cancer;we;selected;MCF-7;we;investigated;effects of tamoxifen on ER cancer;we;explored;potential mechanisms involved in dysfunction mediated by several estrogen receptor subtypes;we;investigated;combinatorial effects of tamoxifen on ER cancer;investigated;combinatorial effects of;tamoxifen;investigated;anti-proliferative effects of;tamoxifen;we;investigated;combinatorial anti-proliferative effects of tamoxifen on ER cancer;we;explored;potential mechanisms involved;we;investigated;anti-proliferative effects on ER cancer;we;selected MCF-7 as;model;we;selected MCF-7 In;present study;investigated;combinatorial anti-proliferative effects of;tamoxifen;we;investigated;combinatorial effects of tamoxifen;we;investigated;anti-proliferative effects of tamoxifen;we;investigated;combinatorial anti-proliferative effects on ER cancer;we;investigated;combinatorial anti-proliferative effects;investigated;combinatorial effects on;ER cancer;we;selected MCF-7 In;study;we;investigated;effects on ER cancer;investigated;combinatorial anti-proliferative effects on;ER cancer;we;explored;potential mechanisms involved in mitochondrial dysfunction mediated by estrogen receptor subtypes;we;investigated;combinatorial effects;investigated;effects of;tamoxifen;,39
Six assessment endpoints including cell viability  cell migration  cell cycle  cell apoptosis  mRNA  and protein expression were estimated.,,0
Tamoxifen and naringenin were shown to inhibit the cell growth of MCF-7 cells at higher concentrations  and co-exposure with them significantly inhibited cell proliferation in an additive manner.,cell growth;inhibited cell proliferation in;manner;cell growth;significantly inhibited cell proliferation in;manner;naringenin;inhibit;cell growth of MCF-7 cells at concentrations;cell growth;significantly inhibited cell proliferation in;additive manner;naringenin;inhibit;cell growth;naringenin;inhibit;cell growth at higher concentrations;cell growth;significantly inhibited;cell proliferation;cell growth;inhibited cell proliferation in;additive manner;naringenin;inhibit;cell growth of MCF-7 cells at higher concentrations;naringenin;inhibit;cell growth of MCF-7 cells;cell growth;inhibited;cell proliferation;naringenin;inhibit;cell growth at concentrations;naringenin;inhibit cell growth with;them;Tamoxifen;were;shown;,14
Results from a wound healing assay indicated that the combined treatment of tamoxifen and naringenin markedly suppressed cell migration compared with the single exposure by downregulating the expression of MMP-9 and MMP-2.,combined treatment;suppressed;cell migration;treatment;markedly suppressed;cell migration;cell migration;treatment of;tamoxifen;cell migration;combined treatment of;tamoxifen;treatment;suppressed;cell migration;combined treatment;markedly suppressed;cell migration;,6
Flow cytometry analysis revealed that the combined treatment of tamoxifen and naringenin blocked cell cycle in G2/M phase through suppressing the transcription of cell cycle regulation proteins.,combined treatment;blocked;cell cycle;treatment;blocked cell cycle in;G2/M phase;combined treatment;suppressing;transcription;treatment;suppressing;transcription of cell cycle regulation proteins;treatment;blocked;cell cycle;cell cycle;treatment of;tamoxifen;treatment;suppressing;transcription;combined treatment;suppressing;transcription of cell cycle regulation proteins;combined treatment;blocked cell cycle in;G2/M phase;cell cycle;combined treatment of;tamoxifen;,10
Simultaneously  co-treatment with them also induced cell apoptosis by regulating the expression of mitochondrial apoptotic proteins as well as by simulating the production of reactive oxygen species (ROS).,co-treatment;regulating;expression;co-treatment;is with;them;co-treatment;regulating;expression of mitochondrial proteins;co-treatment;induced;cell apoptosis;co-treatment;also induced;cell apoptosis;co-treatment;regulating;expression of mitochondrial apoptotic proteins;co-treatment;regulating;expression of proteins;co-treatment;regulating;expression of apoptotic proteins;,8
Real-time quantitative polymerase chain reaction (RT-qPCR) and western blotting (WB) analysis results further demonstrated that the two nuclear estrogen receptors-ERα66 and ERβ  as well as the two membrane estrogen receptors-ERα36 and GPR30 were downregulated when cells were exposed to single tamoxifen  whereas naringenin treatment group not only downregulated the expression of ERα66 and GPR30 but also upregulated ERβ and ERα36.,cells;were;when exposed to tamoxifen;cells;were;exposed;cells;were exposed to;tamoxifen;naringenin treatment group;expression of;ERα66;cells;were;when exposed to single tamoxifen;cells;were exposed to;single tamoxifen;cells;were;when exposed;,7
Interestingly  co-treatment group resulted in significant downregulation of ERα66  ERα36 and GPR30 but upregulation of ERβ.,,0
Taken together  co-treatment of tamoxifen and naringenin could inhibit cell proliferation more effectively in ER+ breast cancer cells  which was associated with a modulation of the expression levels of several estrogen receptors.,cell proliferation;Taken;co-treatment of tamoxifen;cell proliferation;Taken;co-treatment;cell proliferation;Taken together;co-treatment of tamoxifen;cell proliferation;Taken together;co-treatment;,4


The purpose of this study was to develop a realistic patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging.,purpose;develop;realistic 4D breast phantom including time-varying contrast enhancement;purpose;develop;4D digital breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;4D digital breast phantom including time-varying contrast enhancement for simulation;purpose;develop;patient-based 4D breast phantom including contrast enhancement for simulation;purpose;develop;4D breast phantom including time-varying contrast enhancement for simulation;purpose;develop;realistic patient-based 4D digital breast phantom including contrast enhancement for simulation;purpose;develop;patient-based 4D breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic patient-based 4D breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;patient-based 4D breast phantom;purpose;develop;realistic 4D digital breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic 4D breast phantom;purpose;develop;patient-based 4D digital breast phantom including contrast enhancement;purpose;develop;realistic patient-based 4D breast phantom including time-varying contrast enhancement;purpose;develop;patient-based 4D breast phantom including time-varying contrast enhancement for simulation;purpose;develop;4D digital breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic patient-based 4D digital breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic 4D digital breast phantom including time-varying contrast enhancement for simulation;purpose;develop;realistic patient-based 4D breast phantom including contrast enhancement for simulation;purpose;develop;realistic patient-based 4D breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;4D digital breast phantom including contrast enhancement for simulation;purpose;develop;realistic 4D breast phantom including contrast enhancement for simulation;purpose;develop;patient-based 4D breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;4D digital breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic patient-based 4D breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic patient-based 4D digital breast phantom;purpose;develop;patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation;purpose;develop;patient-based 4D digital breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;4D breast phantom;purpose;develop;realistic 4D breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;4D breast phantom including time-varying contrast enhancement;purpose;develop;4D breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic 4D digital breast phantom including time-varying contrast enhancement;purpose;develop;realistic 4D digital breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;patient-based 4D digital breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic patient-based 4D breast phantom;purpose;develop;realistic 4D digital breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;4D digital breast phantom including time-varying contrast enhancement;purpose;develop;realistic 4D breast phantom including time-varying contrast enhancement for simulation;purpose;develop;patient-based 4D breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;patient-based 4D breast phantom including time-varying contrast enhancement;purpose;develop;realistic patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation;purpose;develop;4D breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic 4D breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;4D breast phantom including contrast enhancement;purpose;develop;realistic patient-based 4D digital breast phantom including contrast enhancement;purpose;develop;4D breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;4D digital breast phantom;purpose;develop;realistic 4D digital breast phantom including contrast enhancement for simulation;purpose;develop;realistic 4D breast phantom including contrast enhancement;purpose;develop;patient-based 4D digital breast phantom;purpose;develop;realistic 4D breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic 4D digital breast phantom including contrast enhancement;purpose;develop;4D breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;patient-based 4D digital breast phantom including time-varying contrast enhancement;purpose;develop;realistic patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;4D digital breast phantom including contrast enhancement;purpose;develop;realistic 4D digital breast phantom;purpose;develop;patient-based 4D breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic patient-based 4D breast phantom including contrast enhancement;purpose;develop;realistic 4D breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic patient-based 4D breast phantom including time-varying contrast enhancement for simulation;purpose;develop;patient-based 4D digital breast phantom including time-varying contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;4D breast phantom including contrast enhancement for simulation;purpose;develop;realistic patient-based 4D digital breast phantom including time-varying contrast enhancement;purpose;develop;patient-based 4D digital breast phantom including contrast enhancement for simulation;purpose;develop;realistic 4D digital breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;purpose;develop;realistic patient-based 4D breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;realistic patient-based 4D digital breast phantom including contrast enhancement for simulation of dedicated breast CT perfusion imaging;purpose;develop;patient-based 4D breast phantom including contrast enhancement;purpose;develop;4D digital breast phantom including contrast enhancement for simulation of breast CT perfusion imaging;,72
A 3D static phantom is first created by segmenting a breast CT image from a healthy patient into skin  fibroglandular tissue  adipose tissue  and vasculature.,3D static phantom;segmenting breast CT image from;patient;3D phantom;segmenting breast CT image from;patient into skin fibroglandular tissue adipose tissue;3D phantom;is;created;3D static phantom;segmenting breast CT image from;healthy patient into skin fibroglandular tissue adipose tissue;3D phantom;is;first created;3D phantom;segmenting breast CT image from;healthy patient into skin fibroglandular tissue adipose tissue;3D phantom;segmenting;breast CT image;3D static phantom;is;created;3D static phantom;segmenting breast CT image from;healthy patient;3D static phantom;segmenting breast CT image from;patient into skin tissue adipose tissue;3D static phantom;segmenting breast CT image from;patient into skin fibroglandular tissue adipose tissue;3D static phantom;segmenting breast CT image from;healthy patient into skin tissue adipose tissue;3D phantom;segmenting breast CT image from;healthy patient;3D phantom;segmenting breast CT image from;patient into skin tissue adipose tissue;3D static phantom;segmenting;breast CT image;3D phantom;segmenting breast CT image from;healthy patient into skin tissue adipose tissue;3D static phantom;is;first created;3D phantom;segmenting breast CT image from;patient;,18
For the creation of abnormal cases  a breast lesion model was developed and can be added to the phantom.,breast lesion model;was;developed;breast lesion model;be added to;phantom;breast lesion model;be;added;,3
After defining the necessary perfusion parameters for each tissue (e.g.  arterial input function for vasculature  blood volume and blood flow for the other normal tissues) based on contrast-enhanced dynamic breast MRI data  the corresponding time-enhancement curves are computed for each voxel in the phantom  according to tissue type.,curves;are computed for;voxel;corresponding curves;are;computed for voxel in phantom;time-enhancement curves;are;computed for voxel in phantom;corresponding time-enhancement curves;are;computed for voxel in phantom;curves;are;computed for voxel in phantom;time-enhancement curves;are computed for;voxel;corresponding time-enhancement curves;are computed for;voxel;corresponding curves;are computed for;voxel;,8
These curves are calculated by convolution between the arterial input function and a shifted exponential function.,curves;are calculated by;convolution between input function;curves;are calculated by;convolution;curves;are;calculated;curves;are calculated by;convolution between arterial input function;,4
This exponential depends on the perfusion parameters associated with each tissue voxel  and  to incorporate normal biological variability  a uniform random distribution is used to vary the perfusion parameters on a voxel-basis.,uniform random distribution;is used;vary;uniform random distribution;vary on;voxel-basis;random distribution;is used;vary;random distribution;is used;vary on voxel-basis;random distribution;is;used;uniform distribution;vary;perfusion parameters;random distribution;vary;perfusion parameters;exponential;depends on;perfusion parameters;distribution;vary on;voxel-basis;uniform random distribution;vary perfusion parameters on;voxel-basis;exponential;depends on;perfusion parameters associated with tissue voxel;uniform distribution;is;used;uniform random distribution;is used;vary on voxel-basis;uniform random distribution;vary;perfusion parameters;distribution;is used;vary;distribution;vary;perfusion parameters;random distribution;vary perfusion parameters on;voxel-basis;uniform distribution;is used;vary;distribution;is;used;random distribution;vary on;voxel-basis;uniform distribution;vary perfusion parameters on;voxel-basis;uniform random distribution;is;used;uniform distribution;vary on;voxel-basis;distribution;is used;vary on voxel-basis;uniform distribution;is used;vary on voxel-basis;distribution;vary perfusion parameters on;voxel-basis;,26
Finally  a 4D array is produced by sampling the continuous time-enhancement curves at the desired sampling rate.,4D array;Finally is produced by;sampling;4D array;is;produced;4D array;is produced by;sampling;4D array;is;Finally produced;,4
Beside modeling different enhancement dynamics according to the given input perfusion parameters  the phantom also includes the possibility to realistically simulate different spatial enhancement patterns for the breast parenchyma  taking into account the arterial sources supplying the breast.,arterial sources;supplying;breast;sources;supplying;breast;,2
Finally  different patterns of contrast medium uptake can also be simulated for the tumor models (homogeneous and rim enhancement).,patterns;can;can simulated;patterns;can;can also simulated for tumor models;different patterns;can;can simulated for tumor models;patterns;can;can simulated for tumor models;different patterns;can;can also simulated;different patterns;can;can simulated;different patterns;can;can also simulated for tumor models;patterns;can;can also simulated;,8
As an example  a typical 4D phantom has dimensions of 426 × 421 × 260 × 559 (x  y  z  t)  with a voxel size of 273 μm and a sampling time of 1 s.,4D phantom;has;dimensions of;4D phantom;has dimensions As;example;typical 4D phantom;has;dimensions;4D;has;dimensions of;typical 4D;has;dimensions of;typical 4D phantom;has dimensions As;example;typical 4D phantom;has;dimensions of;4D;has;dimensions;typical 4D;has dimensions As;example;4D phantom;has;dimensions;×;is with;voxel size of 273 μm;typical 4D;has;dimensions;4D;has dimensions As;example;,13
The characteristics of the tumor model can be modified at will to evaluate perfusion in different types of breast lesions.,characteristics;evaluate;perfusion in types of breast lesions;characteristics;evaluate;perfusion;perfusion;is in;different types of breast lesions;characteristics;evaluate;perfusion in types;characteristics;evaluate;perfusion in different types;characteristics;can;can modified;characteristics;evaluate;perfusion in different types of breast lesions;,7
Results show the expected enhancement of tissues  consistent with the given input parameters.,Results;show;enhancement of tissues consistent;Results;show;expected enhancement;Results;show;expected enhancement of tissues consistent with input parameters;Results;show;expected enhancement of tissues consistent with given input parameters;Results;show;enhancement of tissues consistent with input parameters;Results;show;expected enhancement of tissues consistent;Results;show;enhancement;Results;show;enhancement of tissues consistent with given input parameters;Results;show;enhancement of tissues;Results;show;expected enhancement of tissues;,10
Moreover  the tumor models evaluated in this work show different enhancement dynamics according to the tumor type (defined by different input perfusion parameters)  and also present a higher enhancement compared to the other healthy tissues  as expected.,tumor models;Moreover show;different enhancement dynamics;tumor models;Moreover show;enhancement dynamics;tumor models;show;enhancement dynamics;tumor models;evaluated in;work;tumor models;show;different enhancement dynamics;,5
The proposed digital phantom can model the breast tissue perfusion during 4D breast CT image acquisition  displaying the different enhancement dynamics that could be found in a real patient breast.,digital phantom;can model breast tissue perfusion during;4D breast CT image acquisition;proposed digital phantom;can model;breast tissue perfusion;phantom;can model breast tissue perfusion during;4D breast CT image acquisition;digital phantom;can model;breast tissue perfusion;phantom;can model;breast tissue perfusion;proposed phantom;can model;breast tissue perfusion;proposed phantom;can model breast tissue perfusion during;4D breast CT image acquisition;proposed digital phantom;can model breast tissue perfusion during;4D breast CT image acquisition;,8
This phantom can be used during the development of dynamic contrast-enhanced dedicated breast CT imaging  for optimization of image acquisition  image reconstruction  and image analysis.,phantom;can;can used during development of contrast-enhanced dedicated breast CT imaging;phantom;can;can used during development of contrast-enhanced dedicated breast CT imaging for optimization;phantom;can;can used during development of dedicated breast CT imaging;phantom;can;can used during development of contrast-enhanced dedicated breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development of dynamic contrast-enhanced dedicated breast CT imaging;phantom;can;can used during development of contrast-enhanced breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development of dedicated breast CT imaging for optimization;phantom;can;can used during development of dynamic dedicated breast CT imaging;phantom;can;can used during development of dynamic breast CT imaging for optimization;phantom;can;can used during development of contrast-enhanced breast CT imaging;phantom;can;can used during development of dynamic breast CT imaging;phantom;can;can used;phantom;can;can used during development of breast CT imaging for optimization;phantom;can;can used during development of contrast-enhanced breast CT imaging for optimization;phantom;can;can used during development of breast CT imaging;phantom;can;can used during development of dynamic dedicated breast CT imaging for optimization;phantom;can;can used during development for optimization;phantom;can;can used during development of dedicated breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development;phantom;can;can used during development of dynamic contrast-enhanced dedicated breast CT imaging for optimization;phantom;can;can used during development of dynamic contrast-enhanced dedicated breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development of breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development of dynamic breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development of dynamic contrast-enhanced breast CT imaging for optimization;phantom;can;can used during development for optimization of image acquisition image reconstruction;phantom;can;can used during development of dynamic contrast-enhanced breast CT imaging;phantom;can;can used during development of dynamic contrast-enhanced breast CT imaging for optimization of image acquisition image reconstruction;phantom;can;can used during development of dynamic dedicated breast CT imaging for optimization of image acquisition image reconstruction;,28
This modality could provide functional information of the breast  resulting in detection  diagnosis  and treatment improvements of breast cancer with breast CT.,detection diagnosis;is with;breast CT.;modality;could provide;information;modality;could provide;functional information of breast resulting in detection diagnosis;modality;could provide;information of breast;modality;could provide;functional information of breast resulting in detection diagnosis with breast CT.;modality;could provide;information of breast resulting in detection diagnosis of breast cancer with breast CT.;modality;could provide;information of breast resulting in detection diagnosis;modality;could provide;functional information of breast resulting in detection diagnosis of breast cancer with breast CT.;modality;could provide;functional information of breast resulting in detection diagnosis of breast cancer;modality;could provide;information of breast resulting in detection diagnosis of breast cancer;modality;could provide;functional information of breast;modality;could provide;information of breast resulting;modality;could provide;functional information;modality;could provide;functional information of breast resulting;modality;could provide;information of breast resulting in detection diagnosis with breast CT.;,15


Orthosiphon pallidus (O. pallidus)  which belongs to the Lamiaceae family  is a popular garden plant that is widely used for the treatment of various diseases  such as urinary lithiasis  fever  hepatitis  cancer and jaundice.,pallidus;is;popular;,1
The objective of the present work was to investigate the antioxidant free-radical scavenging and the anticancer activities of O. pallidus against human breast-cancer cell lines.,anticancer activities;free-radical scavenging against;human cell lines;objective;investigate;activities;objective;investigate;anticancer activities;activities;antioxidant free-radical scavenging against;human breast-cancer cell lines;objective;investigate;antioxidant scavenging;objective;investigate;activities of O. pallidus;objective;investigate;free-radical scavenging against human cell lines;activities;antioxidant scavenging against;human cell lines;objective;investigate;antioxidant scavenging against human cell lines;activities;scavenging against;breast-cancer cell lines;anticancer activities;free-radical scavenging against;cell lines;activities;antioxidant free-radical scavenging against;breast-cancer cell lines;anticancer activities;antioxidant scavenging against;human breast-cancer cell lines;anticancer activities;antioxidant free-radical scavenging against;human breast-cancer cell lines;anticancer activities;antioxidant free-radical scavenging against;cell lines;activities;free-radical scavenging against;breast-cancer cell lines;activities;antioxidant free-radical scavenging against;human cell lines;anticancer activities;antioxidant free-radical scavenging against;human cell lines;activities;free-radical scavenging against;cell lines;activities;antioxidant scavenging against;breast-cancer cell lines;activities;scavenging against;human cell lines;activities;free-radical scavenging against;human cell lines;activities;antioxidant scavenging against;human breast-cancer cell lines;anticancer activities;scavenging against;human cell lines;objective;investigate;free-radical scavenging against human breast-cancer cell lines;anticancer activities;scavenging against;human breast-cancer cell lines;anticancer activities;antioxidant scavenging against;cell lines;anticancer activities;free-radical scavenging against;breast-cancer cell lines;objective;investigate;antioxidant free-radical scavenging;activities;scavenging against;cell lines;activities;free-radical scavenging against;human breast-cancer cell lines;objective;investigate;scavenging;objective;investigate;antioxidant free-radical scavenging against human cell lines;objective;investigate;antioxidant free-radical scavenging against cell lines;objective;investigate;antioxidant scavenging against breast-cancer cell lines;objective;investigate;scavenging against human breast-cancer cell lines;objective;investigate;scavenging against cell lines;objective;investigate;anticancer activities of O. pallidus;objective;investigate;free-radical scavenging;anticancer activities;scavenging against;cell lines;anticancer activities;antioxidant scavenging against;breast-cancer cell lines;objective;investigate;antioxidant scavenging against human breast-cancer cell lines;anticancer activities;antioxidant free-radical scavenging against;breast-cancer cell lines;objective;investigate;antioxidant scavenging against cell lines;activities;antioxidant free-radical scavenging against;cell lines;objective;investigate;antioxidant free-radical scavenging against breast-cancer cell lines;activities;antioxidant scavenging against;cell lines;activities;scavenging against;human breast-cancer cell lines;objective;investigate;free-radical scavenging against cell lines;objective;investigate;scavenging against human cell lines;objective;investigate;scavenging against breast-cancer cell lines;anticancer activities;free-radical scavenging against;human breast-cancer cell lines;objective;investigate;free-radical scavenging against breast-cancer cell lines;anticancer activities;antioxidant scavenging against;human cell lines;objective;investigate;antioxidant free-radical scavenging against human breast-cancer cell lines;anticancer activities;scavenging against;breast-cancer cell lines;,56
